"GEOGRAPHY_CODE","total_kg_imported","prc_from_overall"
1,515872540806,50.0000
5490,103906412553,10.0709
5700,56824452068,5.5076
3370,45153370216,4.3764
1220,44757390554,4.3380
3310,40637362106,3.9387
5600,38595830754,3.7408
5330,31724210124,3.0748
5520,31015079388,3.0061
2010,27683724267,2.6832
4039,9632691240,0.9336
5380,8243760641,0.7990
2150,8082024193,0.7833
5570,6789730985,0.6581
2250,4878882715,0.4729
4120,4749912564,0.4604
3070,4247864782,0.4117
5830,4244784905,0.4114
3330,4124111100,0.3997
5880,3452467425,0.3346
3120,3008035874,0.2915
4091,2701188454,0.2618
3010,2679621480,0.2597
2230,2534610511,0.2457
6141,2400301910,0.2326
3510,2233096246,0.2164
5650,2222323247,0.2154
2190,2184406755,0.2117
2050,1800462813,0.1745
5800,1729318697,0.1676
3570,1695470388,0.1643
2110,1143066771,0.1108
5590,1124881225,0.1090
2080,982195290,0.0952
4000,906817854,0.0879
5350,886585903,0.0859
4210,676321845,0.0656
3150,564210608,0.0547
5460,562670164,0.0545
5420,481020082,0.0466
5200,472189612,0.0458
5820,461309402,0.0447
4099,457172964,0.0443
4621,396928894,0.0385
4280,300456705,0.0291
5550,290740981,0.0282
7530,234143363,0.0227
6021,221419134,0.0215
5170,217422320,0.0211
4550,201565392,0.0195
4190,193027758,0.0187
5660,117589066,0.0114
1010,106164455,0.0103
4279,105341523,0.0102
2410,70697340,0.0069
6412,68015257,0.0066
5610,53168397,0.0052
5070,48493796,0.0047
2740,46491720,0.0045
5230,45005435,0.0044
4840,43608373,0.0042
3550,36311584,0.0035
4010,32628441,0.0032
4700,32354390,0.0031
6226,30059508,0.0029
3170,25787526,0.0025
7880,25131934,0.0024
4231,18940851,0.0018
2450,18070240,0.0018
7870,16477357,0.0016
5081,15782852,0.0015
6863,12446161,0.0012
7790,11585030,0.0011
4710,11344190,0.0011
6810,9999656,0.0010
4419,9572498,0.0009
4759,9145504,0.0009
6223,7744996,0.0008
7660,6886308,0.0007
5210,6628243,0.0006
6414,5877683,0.0006
2470,5749565,0.0006
4351,5548972,0.0005
5250,5530515,0.0005
7940,5236656,0.0005
2779,4926697,0.0005
7440,4849312,0.0005
4510,4424255,0.0004
6864,4285960,0.0004
7830,3622396,0.0004
2440,3497424,0.0003
2360,3413361,0.0003
6224,3101536,0.0003
4610,3064139,0.0003
5683,2790166,0.0003
4870,2598875,0.0003
6830,2335468,0.0002
2430,2257732,0.0002
4272,2233971,0.0002
2489,2173818,0.0002
5130,1979892,0.0002
4470,1946185,0.0002
7670,1867076,0.0002
7230,1777341,0.0002
7910,1770304,0.0002
6022,1660082,0.0002
7140,1542700,0.0001
7960,1538223,0.0001
7970,1525652,0.0001
7480,1515452,0.0001
6142,1468198,0.0001
4890,1316293,0.0001
7550,1229787,0.0001
2771,1215217,0.0001
7290,1131433,0.0001
6024,1110572,0.0001
7490,1078152,0.0001
6040,1054626,0.0001
3530,1030646,0.0001
7500,1002226,0.0001
7420,969231,0.0001
4910,955895,0.0001
6820,884540,0.0001
1610,882816,0.0001
3350,859669,0.0001
4623,818386,0.0001
7700,731264,0.0001
6150,699616,0.0001
2482,684980,0.0001
7580,644925,0.0001
7850,639247,0.0001
4633,550467,0.0001
7600,545679,0.0001
2486,503814,0.0000
4635,474032,0.0000
7920,473413,0.0000
4050,469423,0.0000
4752,459093,0.0000
7210,450336,0.0000
4290,414513,0.0000
2484,320574,0.0000
7800,308253,0.0000
7520,306307,0.0000
4490,281738,0.0000
2720,277720,0.0000
7741,256072,0.0000
7470,239064,0.0000
4641,224361,0.0000
7780,221962,0.0000
5530,221287,0.0000
6029,191553,0.0000
5740,161649,0.0000
2320,161286,0.0000
2831,136098,0.0000
4720,127944,0.0000
7650,100819,0.0000
2839,99207,0.0000
7610,94918,0.0000
7630,84026,0.0000
7510,78000,0.0000
7460,73683,0.0000
4642,68922,0.0000
4850,65642,0.0000
7810,60144,0.0000
4370,57704,0.0000
7770,49802,0.0000
5110,33764,0.0000
4031,33040,0.0000
2483,30536,0.0000
7644,29608,0.0000
7749,25546,0.0000
7905,21028,0.0000
6862,20344,0.0000
2487,18255,0.0000
6144,15936,0.0000
5360,15922,0.0000
5310,15548,0.0000
4793,14686,0.0000
4631,13214,0.0000
7540,12504,0.0000
4350,9360,0.0000
7410,8424,0.0000
6023,8214,0.0000
5040,7080,0.0000
7642,5734,0.0000
4791,5480,0.0000
7560,5148,0.0000
4359,4488,0.0000
5682,4350,0.0000
4643,3110,0.0000
6225,3002,0.0000
