"commodity_desc","total_kg_imported","prc_from_overall"
"Shrimp, total",217326612988,21.0640
"Shrimp, frozen",174536134748,16.9166
"Atlantic salmon, total",58489728358,5.6690
"SHRIMPS AND PRAWNS, PEELED, FROZEN",52713043632,5.1091
"Shrimp, fresh and prepared",42790478240,4.1474
"Shrimp, prepared",41352828302,4.0080
"Atlantic salmon, fillets",35936500432,3.4831
"SHRIMPS AND PRAWNS, PREPARED NESOI, FROZEN",31335806620,3.0372
"Tilapia, total",25938310798,2.5140
"Atlantic salmon, fresh",21536437984,2.0874
"SHRIMPS AND PRAWNS, FROZEN, PEELED, NESOI",20766479100,2.0128
"Tilapia, Fillets, frozen",16053408448,1.5559
ATLANTIC SALMON FARMED FRSH/CHLD EX FILLET/LIV/ROE,14942898246,1.4483
SHRIMP/PRAWN SHELL-ON COUNT SIZE 67-88 PER KG FRZN,13308278764,1.2899
Scallops,13280404798,1.2872
SHRIMPS/PRAWNS SHELL-ON COUNT SIZE < 33 PER KG FRZ,11487068300,1.1134
SHRIMP/PRAWN SHELL-ON COUNT SIZE 56-66 PER KG FRZN,10319977896,1.0002
"SCALLOPS INCL QUEEN, FROZEN/DRIED/SALTED/IN BRINE",10097336558,0.9787
SHRIMP/PRAWN SHELL-ON COUNT SIZE 33-45 PER KG FRZN,10029921024,0.9721
SHRIMP/PRAWN SHELL-ON COUNT SIZE 46-55 PER KG FRZN,9987590716,0.9680
"ATLANTIC SALMON (SALMO SALAR) FILLETS, NOT FARMED, FRESH OR CHILLED",9834372218,0.9532
FARM ATL SALMON(SALMO SALAR) FILLET/OTH MEAT FR/CH,8843134688,0.8571
SHRIMP/PRAWN SHELL-ON COUNT SIZE 89-110 PER KG FRZ,7971987686,0.7727
"TILAPIA FILLETS, FROZEN",7851967266,0.7610
"ATLANTIC SALMON FILLETS ETC, FARMED, FRESH/CHILLED",7274592778,0.7051
"SHRIMPS AND PRAWNS, BREADED, FROZEN",7174885262,0.6954
SHRIMP/PRAWN SHELL-ON COUNT SIZE 111-132 PR KG FRZ,6462079786,0.6263
"TILAPIA (TILAPIINAE) FILLETS, FROZEN",6132137386,0.5943
"ATLANTIC SALMON (SALMO SALAR), FARMED, FRESH OR CHILLED, EXCEPT FILLETS, LIVERS ",6113353886,0.5925
"Tilapia, Fillets, fresh",5680672286,0.5506
"Pacific salmon, frozen",5588817056,0.5417
"Pacific salmon, fresh",4363236288,0.4229
"SHRIMPS AND PRAWNS, SHELL-ON, FROZEN",4314021688,0.4181
"Salmon, canned and prepared",4271901734,0.4140
"Tilapia, Whole, frozen",4204230064,0.4075
SHRIMP/PRAWN SHELL-ON COUNT SIZE MORE THAN 154 FRZ,4094644148,0.3969
"ATLANTIC SALMONIDAE (SALMON SALAR) FILLETS, FROZEN, NESOI",3932901724,0.3812
Mussels,3853526558,0.3735
SHRIMP/PRAWN SHELL-ON COUNT SIZE 133-154 PR KG FRZ,3493750992,0.3386
Clams,3347539472,0.3245
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 67-88 PER KG ",3257558962,0.3157
Oysters,3116301734,0.3020
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 46-55 PER KG ",2989355120,0.2897
"SCALLOPS INCL QUEEN SCALLOPS, LIVE, FRESH, CHILLED",2987575898,0.2896
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 56-66 PER KG ",2788740542,0.2703
"ATLANTIC SALMONIDAE FILLETS, FROZEN, NESOI",2679942034,0.2597
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) LESS THAN 33 ",2544066520,0.2466
"SALMONIDAE,ATLANTIC(SALMO SALAR),FILLETS,NESOI,FZN",2511579948,0.2434
"SHRIMPS AND PRAWNS, FROZEN, SHELL-ON, COUNT SIZE (HEADLESS WEIGHT) 33-45 PER KG ",2411442160,0.2337
"PACIFIC, ATLANTIC AND DANUBE SALMON, SMOKED",2344344484,0.2272
Ornamental fish,2293057168,0.2223
"MUSSELS, FROZEN, DRIED, SALTED OR IN BRINE",2211968806,0.2144
"TILAPIA, FRESH-WATER FILLETS NESOI, FROZEN",2067360532,0.2004
"TILAPIA, FRESH-WATER, FROZEN EX FILLETS/LIVERS/ROE",1998009710,0.1937
"TILAPIA FILLETS AND OTHER MEAT, FRESH OR CHILLED",1982867062,0.1922
"SALMONIDAE FILLETS, FROZEN, EXCEPT ATLANTIC SALMON, NESOI",1969118034,0.1909
