"YEAR_ID","total_kg_imported","prc_from_overall"
1989,14219927594,1.3782
1990,14403436022,1.3960
1991,15511804362,1.5035
1992,16963612928,1.6442
1993,18508756512,1.7939
1994,21823609708,2.1152
1995,21770942698,2.1101
1996,21721911432,2.1054
1997,26040775644,2.5240
1998,28031247626,2.7169
1999,29304513034,2.8403
2000,34616180556,3.3551
2001,34303251834,3.3248
2002,34540178362,3.3477
2003,38487449664,3.7303
2004,38532624148,3.7347
2005,40670013184,3.9419
2006,47388443834,4.5930
2007,46545227390,4.5113
2008,48766710790,4.7266
2009,46674097226,4.5238
2010,51748856254,5.0157
2011,58825941420,5.7016
2012,54818456812,5.3132
2013,64011430606,6.2042
2014,76119510426,7.3777
2015,66631730868,6.4582
2016,20764440678,2.0126
,,
